"id";"api_id";"category";"description";"external_id";"fuel_type";"license_id";"model";"operator";"provider"
1935696;2577272;"";"Rosella";"DriveNow_13383980";"PETROL";"M-DX5762";"MINI 3-Tuerer";"DriveNow";"driveNow"
1935697;1355842;"";"B-GO4422";"WME4533421K063258";"PETROL";"";"";"car2go";"car2go"
1935698;2575452;"";"Alexandros";"DriveNow_13449017";"DIESEL";"W-26938D";"BMW 1er";"DriveNow";"driveNow"
1935699;1359506;"";"B-GO5585";"WDD1760431J521937";"PETROL";"";"";"car2go";"car2go"
1935700;1358523;"";"1539 / W-85426C";"WME4513341K833613";"PETROL";"";"";"car2go";"car2go"
1935701;341604;"";"Walther";"DriveNow_13359078";"PETROL";"M-DX5214";"MINI 3-Tuerer";"DriveNow";"driveNow"
1935702;1359081;"";"B-GO8016";"WME4533421K087515";"PETROL";"";"";"car2go";"car2go"
1935703;1359139;"";"B-GO5510";"WDD1760431J516154";"PETROL";"";"";"car2go";"car2go"
1935704;1875973;"";"Pepita";"DriveNow_13462897";"DIESEL";"M-DX8961";"BMW X1";"DriveNow";"driveNow"
1935705;1357922;"";"S-GO2519";"WME4513901K705717";"ELECTRICITY";"";"";"car2go";"car2go"
1935706;1360067;"";"B-GO8597";"WDD1760431J511708";"PETROL";"";"";"car2go";"car2go"
1935707;2574403;"";"Neil";"DriveNow_13329719";"PETROL";"YG16UJS";"MINI Cabrio";"DriveNow";"driveNow"
1935708;1357621;"";"B-GO4801";"WME4533421K075929";"PETROL";"";"";"car2go";"car2go"
1935709;2574357;"";"Jenna";"DriveNow_13449182";"DIESEL";"W-40511F";"BMW 1er";"DriveNow";"driveNow"
1935710;1962482;"";"Lennox";"DriveNow_13478212";"PETROL";"M-DX9087";"MINI 3-Tuerer";"DriveNow";"driveNow"
1935711;2574199;"";"Beatrix";"DriveNow_13361310";"DIESEL";"M-DX5243";"BMW 2er Active Tourer";"DriveNow";"driveNow"
1935712;1356961;"";"1357 / W-84787C";"WME4513341K831154";"PETROL";"";"";"car2go";"car2go"
1935713;2575158;"";"Nanna";"DriveNow_13152455";"ELECTRICITY";"AV74963";"BMW i3";"DriveNow";"driveNow"
1935714;1432995;"";"Jackqueline";"DriveNow_13408988";"DIESEL";"M-DX8513";"MINI Clubman";"DriveNow";"driveNow"
1935715;2577236;"";"Rona";"DriveNow_13424009";"PETROL";"M-DX8764";"MINI 3-Tuerer";"DriveNow";"driveNow"
1935716;1360059;"";"B-GO4308";"WME4533421K062957";"PETROL";"";"";"car2go";"car2go"
1935717;1357440;"";"1290 / W-84669C";"WME4513341K830019";"PETROL";"";"";"car2go";"car2go"
1935718;2575244;"";"Håkan";"DriveNow_13497233";"DIESEL";"EKF851";"BMW 1er";"DriveNow";"driveNow"
